YEAR,TIPO_SUBVENCION,CODIGO,NOMBRE_INICIATIVA,PROVINCIA,COMUNA,RUT_INSTITUCION,NOMBRE_INSTITUCION,ID,CAJA,UBICACION,DOC_PRESENTE,OBSERVACION,PDF_PATH
2023,ADULTO MAYOR,2301AM0037,"LAS SOCIAS Y SOCIOS DEL CLUB DEL ADULTO MAYOR LOS AÑOS DORADOS DE CHACAY, CONOCEMOS NUESTRO PATRIMONIO Y CULTURA RECORRIENDO LOTA",PUNILLA,ÑIQUÉN,65.050.348-1,CLUB DEL ADULTO MAYOR LOS AÑOS DORADOS DE CHACAY,27,1,,,,
2023,ADULTO MAYOR,2301AM0038,ALEGRIA DE VIVIR SANAMENTE,PUNILLA,SAN CARLOS,65.349.720-2,CLUB DEPORTIVO ADULTO MAYOR ALEGRIA DE VIVIR,28,1,,,,
2023,ADULTO MAYOR,2301AM0041,ENVEJECIMIENTO ACTIVO DE PERSONAS MAYORES DEL CLUB DE ADULTO MAYOR “LA ERA ENCANTADA” DE LA LOCALIDAD DE PULLAY DE LA COMUNA DE COBQUECURA.,ITATA,COBQUECURA,65.920.330-8,CLUB DE ADULTO MAYOR LA ERA ENCANTADA,29,1,,,,
2023,ADULTO MAYOR,2301AM0043,LOS AMIGOS DE ANA Y JOAQUÍN SE VAN A TOME,DIGUILLÍN,CHILLÁN,65.830.880-7,CLUB DE ADULTO MAYOR DE AMIGOS DE ANA Y JOAQUÍN,30,1,,,,
2023,ADULTO MAYOR,2301AM0046,"POR UN BELLO HORIZONTE, MEJORAMOS NUESTRA ALIMENTACIÓN",ITATA,TREGUACO,65.738.280-9,CLUB DEL ADULTO MAYOR BELLO HORIZONTE,31,2,,,,
2023,ADULTO MAYOR,2301AM0048,FIESTA POPULAR LA CRUZ DEL TRIGO LOS MAQUIS,ITATA,COBQUECURA,65.085.845-K,CLUB DE ADULTO MAYOR FLOR DEL AVELLANO,32,2,,,,
2023,ADULTO MAYOR,2301AM0053,LOS SOCIOS Y SOCIAS CONOCEN LOS VIÑEDOS DE QUILLÓN,DIGUILLÍN,CHILLÁN,65.110.288-k,CLUB DEL ADULTO MAYOR EL ESFUERZO A UNA VIDA MEJOR,33,2,,,,
2023,ADULTO MAYOR,2301AM0057,LOS PLATOS TÍPICOS VI VERSIÓN 2023,ITATA,COBQUECURA,65.793.820-3,UNIÓN COMUNAL DE ADULTOS MAYORES,34,2,,,,
2023,ADULTO MAYOR,2301AM0058,CONOCIENDO MI PATRIMONIO DE ÑUBLE,DIGUILLÍN,QUILLÓN,74.787.500-6,GRUPO DE ADULTO MAYOR RENACER CON AMOR,35,2,,,,
2023,ADULTO MAYOR,2301AM0060,CAMINANDO POR LA HISYORIA,DIGUILLÍN,SAN IGNACIO,65.075.806-4,CLUB ADULTO MAYOR SANTA INES,36,2,,,,
2023,ADULTO MAYOR,2301AM0062,ADQUIRIR NUEVAS HERRAMIENTAS PARA NUESTRA ORGANIZACIÓN,DIGUILLÍN,CHILLÁN VIEJO,65.063.499-3,TALLER DE APOYO AL ADULTO MAYOR,37,2,,,,
2023,ADULTO MAYOR,2301AM0063,BUSCANDO MEJOR SALUD,DIGUILLÍN,SAN IGNACIO,65.514.200-2,CLUB ADULTO MAYOR SAN FRANCISCO DE ASIS,38,2,,,,
2023,ADULTO MAYOR,2301AM0064,NUEVA TÉCNICA PARA NUESTRAS MANUALIDADES,DIGUILLÍN,CHILLÁN VIEJO,65.053.411-5,CLUB DE MUJERES NUEVA VIDA,39,2,,,,
2023,ADULTO MAYOR,2301AM0065,ATENCION PODOLOGICA PARA PERSONAS MAYORES,DIGUILLÍN,SAN IGNACIO,65.395.060-8,UNION COMUNAL DE ADULTO MAYOR EL ULTIMO RECREO,40,2,,,,
2023,ADULTO MAYOR,2301AM0066,"VIAJE CULTURAL Y RECREATIVO A SAN FABIÁN, SAN SERAPIO",DIGUILLÍN,CHILLÁN,75.942.220-1,GRUPO ADULTO MAYOR NUEVO AMANECER SAN SERAPIO,41,2,,,,
2023,ADULTO MAYOR,2301AM0069,MEJOR SALUD Y BIENESTAR PARA EL ADULTO MAYOR LAS GOLONDRINAS DE YUNGAY,DIGUILLÍN,YUNGAY,65.062.198-0,CLUB ADULTO MAYOR LAS GOLONDRINAS DE YUNGAY,42,2,,,,
2023,ADULTO MAYOR,2301AM0072,MÁS SALUD PARA EL ADULTO MAYOR,PUNILLA,SAN CARLOS,65.060.714-7,GRUPO DE ADULTO MAYOR SANTA AMALIA EL SAUCE,43,2,,,,
2023,ADULTO MAYOR,2301AM0073,VIAJANDO SANAMENTE,DIGUILLÍN,YUNGAY,65.272.130-3,CLUB ADULTO MAYOR TRES ESQUINAS,44,2,,,,
2023,ADULTO MAYOR,2301AM0075,LOS ADULTOS MAYORES DE PUENTE ÑUBLE PRIORIZAN EL AUTOCUIDADO,PUNILLA,SAN NICOLÁS,75.955.540-6,CLUB DE ADULTOS MAYORES DESPERTAR,45,2,,,,
2023,ADULTO MAYOR,2301AM0076,LA SALUD MENTAL Y EMOCIONAL COMO EJE DE NUESTRO PROYECTO DE VIDA,DIGUILLÍN,CHILLÁN,65.125.028-5,CLUB DE ADUTO MAYOR SURCO Y SEMILLA,46,2,,,,
2023,ADULTO MAYOR,2301AM0077,SUEÑOS CONFECCIONADOS CON CARIÑO,ITATA,COELEMU,65.238.140-5,CLUB DE ADULTO MAYOR MARAVILLA DE VIVIR,47,2,,,,
2023,ADULTO MAYOR,2301AM0079,GENERANDO CONCIENCIA DE MI SALUD CARDIOVASCULAR A TRAVÉS DE LA ALIMENTACIÓN EN SOCIOS Y FAMILIA DEL CLUB DE ADULTO MAYOR ARMONÍA DE ÑIQUÉN ESTACIÓN.,PUNILLA,ÑIQUÉN,65.350.590-6,CLUB DE ADULTO MAYOR ARMONÍA DE ÑIQUÉN ESTACIÓN.,48,2,,,,
2023,ADULTO MAYOR,2301AM0080,LOS ADULTOS MAYORES DE LA ANTÁRTICA CHILENA SE VAN DE VIAJE,DIGUILLÍN,CHILLÁN,74.140.700-0,CLUB DEL ADULTO MAYOR ANTÁRTICA CHILENA,49,2,,,,
2023,ADULTO MAYOR,2301AM0081,GENERANDO ESTILOS DE VIDA SALUDABLES EN SOCIOS Y FAMILIA DEL CLUB DE ADULTO MAYOR ESPERANZA DE ZEMITA.,PUNILLA,ÑIQUÉN,65.434.020-k,CLUB DE ADULTO MAYOR ESPERANZA DE ZEMITA,50,2,,,,
2023,ADULTO MAYOR,2301AM0084,TRABAJANDO LA COMUNICACIÓN CONOCEMOS VALDIVIA,DIGUILLÍN,CHILLÁN,65.162.005-8,CLUB DE ADULTO MAYOR NUEVA PROYECCIÓN,51,2,,,,
2023,ADULTO MAYOR,2301AM0088,VIAJE RECREATIVO TERAPEUTICO FUTRONO,DIGUILLÍN,CHILLÁN,65.020.447-6,CLUB DE ADULTO MAYOR MULTITALLER ANGELES,52,2,,,,
2023,ADULTO MAYOR,2301AM0089,VITALDANZA. BAILANDO HACIA LA VITALIDAD,PUNILLA,SAN CARLOS,65.034.126-0,AGRUPACION DE ADULTOS MAYORES JUBILADOS DE LA SALUD DEL HOSPITAL DE SAN CARLOS,53,2,,,,
2023,ADULTO MAYOR,2301AM0091,"ALEGRÍA DE REUNIRNOS, CENTRO DE ADULTO MAYOR EL GRUPO DE LA AMISTAD",PUNILLA,SAN CARLOS,65.163.116-5,CENTRO DE ADULTO MAYOR EL GRUPO DE LA AMISTAD,54,2,,,,
2023,ADULTO MAYOR,2301AM0092,"AVANZANDO UNIDOS, RESCATAMOS NUESTRAS TRADICIONES",PUNILLA,ÑIQUÉN,65.507.930-0,CLUB DEL ADULTO MAYOR AVANCEMOS UNIDOS DE LA GLORIA,55,2,,,,
2023,ADULTO MAYOR,2301AM0093,"""RUTA DORADA: DESCUBRIENDO LOTA CON SABIDURÍA""",PUNILLA,SAN CARLOS,65.346.950-0,CENTRO DEL ADULTO MAYOR AMOR DE HERMANOS,56,2,,,,
2023,ADULTO MAYOR,2301AM0094,DESCUBRIENDO PICHILEMU, UN VIAJE A TRAVES DE LA CULTURA Y LA HISTORIA,PUNILLA,SAN CARLOS,65.040.666-4,CLUB ADULTO MAYOR ESPERANZA JOVEN,57,,,,
2023,ADULTO MAYOR,2301AM0095,DISFRUTAR DE LA NATURALEZA,DIGUILLÍN,CHILLÁN,65.179.835-3,CLUB ADULTO MAYOR ARCOIRIS DE NUESTRO ATARDECER,58,2,,,,
2023,ADULTO MAYOR,2301AM0096,TOUR BODAS DE PLATA AMANECER DE BUCHUPUREO,ITATA,COBQUECURA,74.522.100-9,CLUB DEL ADULTO MAYOR AMANECER DE BUCHUPUREO,59,2,,,,
2023,ADULTO MAYOR,2301AM0097,PIES SALUDABLES PARA EL ADULTO MAYOR,ITATA,COELEMU,65.025.659-k,CLUB DEL ADULTO MAYOR FLOR DEL BOSQUE DE HUARO,60,2,,,,
2023,ADULTO MAYOR,2301AM0098,"""DESCUBRIENDO TESOROS DE LOTA: UN VIAJE CULTURAL PARA ADULTOS MAYORES""",PUNILLA,SAN CARLOS,65.309.080-3,CENTRO DE ADULTO MAYOR “LOS ROBLES”,61,3,,,,
2023,ADULTO MAYOR,2301AM0099,YOGA PARA MEJORAR LA SALUD Y BIENESTAR DE LAS SOCIAS Y SOCIOS DEL COMITE DEL ADULTO MAYOR NUEVA VIDA SAN GREGORIO,PUNILLA,ÑIQUÉN,74.557.800-4,COMITE DEL ADULTO MAYOR NUEVA VIDA SAN GREGORIO,62,3,,,,
2023,ADULTO MAYOR,2301AM0101,PREVENIMOS Y NOS CUIDAMOS,ITATA,TREGUACO,65.653.420-6,CLUB DEL ADULTO MAYOR EL ALBA DE PUAHUN,63,3,,,,
2023,ADULTO MAYOR,2301AM0103,LOS SOCIOS Y SOCIAS DEL CLUB ADULTO MAYOR VOLVER A LOS 17 VISITAN LA RUTA COSTERA,DIGUILLÍN,CHILLÁN,65.096.443-8,CLUB DE ADULTO MAYOR VOLVER A LOS 17,64,3,,,,
2023,ADULTO MAYOR,2301AM0104,"TELARES CON FLORES DE PRIMAVERA, SEGUNDA PARTE",PUNILLA,ÑIQUÉN,65.499.260-6,CLUB DEL ADULTO MAYOR FLOR EN PRIMAVERA DE HUENUTIL CENTRO,65,3,,,,
2023,ADULTO MAYOR,2301AM0105,UNIENDO HEBRAS EN AÑOS DORADOS,PUNILLA,SAN CARLOS,69.286.060-8,GRUPO DE ADULTO MAYOR “LA ESPERANZA DE BULI ESTACIÓN”,66,3,,,,
2023,ADULTO MAYOR,2301AM0106,"RAÍCES VIVAS, TALLER FOLCLÓRICO PARA ADULTOS MAYORES",PUNILLA,SAN CARLOS,65.186.081-4,CLUB DE ADULTO MAYOR VALLE VERDE CACHAPOAL,67,3,,,,
2023,ADULTO MAYOR,2301AM0107,FORTALECIENDO MIS HABILIDADES COGNITIVAS Y MOTRICES CON TERAPIA CULINARIA,ITATA,PORTEZUELO,65.337.680-4,CLUB DE LA TERCERA EDAD NUEVA VIDA,68,3,,,,
2023,ADULTO MAYOR,2301AM0108,ALIMENTANDO EL ALMA SALUDABLEMENTE,ITATA,NINHUE,65.521.520-4,CLUB DE ADULTO MAYOR JUAN PABLO II DE COYANCO,69,3,,,,
2023,ADULTO MAYOR,2301AM0109,CLUB SAN FRANCISCO SE MOTIVA,DIGUILLÍN,CHILLÁN,65.111.096-3,CLUB DEL ADULTO MAYOR SAN FRANCISCO,70,3,,,,
2023,ADULTO MAYOR,2301AM0110,MANOS CREATIVAS,DIGUILLÍN,YUNGAY,65.221.420-7,GRUPO ADULTO MAYOR LAS VIOLETAS,71,3,,,,
2023,ADULTO MAYOR,2301AM0112,ADULTOS MAYORES BRILLAMOS COMO ARCOIRIS Y MEJORAMOS NUESTRA SALUD,ITATA,RÁNQUIL,65.650.970-8,GRUPO ADULTO MAYOR ARCO IRIS,72,3,,,,
2023,ADULTO MAYOR,2301AM0114,TRAVESÍA TURÍSTICA Y RECREATIVA PARA EL ADULTO MAYOR,DIGUILLÍN,PINTO,65.324.220-4,AGRUPACIÓN DEL ADULTO MAYOR DE PINTO NUEVO AMANECER,73,3,,,,
2023,ADULTO MAYOR,2301AM0115,DESCUBRIENDO NUESTRA HERENCIA CULTURAL,PUNILLA,SAN CARLOS,65.225.780-1,CENTRO CULTURAL ESFUERZO Y CANTO DE LOS ADULTOS MAYORES,74,3,,,,
2023,ADULTO MAYOR,2301AM0117,EMOCIONES POSITIVAS EN EL ADULTO MAYOR,PUNILLA,ÑIQUÉN,65.123.902-8,CLUB DEL ADULTO MAYOR QUELTEHUES DE SAN GREGORIO,75,3,,,,
2023,ADULTO MAYOR,2301AM0118,"SOCIAL ""ENFERMEDADES CRÓNICAS ENFOQUE AUTOCUIDADO""",ITATA,QUIRIHUE,65.019.146-3,AGRUPACIÓN PROFESORES JUBILADOS QUIRIHUE VIDA NUEVA,76,3,,,,
2023,ADULTO MAYOR,2301AM0119,FORTALECIENDO LAS FUNCIONES COGNITIVAS MEJORAMOS LA CALIDAD DE VIDA DE LAS PERSONAS MAYORES.,ITATA,PORTEZUELO,65.147.240-7,COMITÉ DE ADULTO MAYOR BUENA UNIÓN DE HUACALEMU,77,3,,,,
2023,ADULTO MAYOR,2301AM0121,VESTIMENTA PARA NUESTRO CLUB,DIGUILLÍN,CHILLÁN VIEJO,65.114.243-1,GRUPO DE GIMNASIA Y VARIOS MENTE SANA CUERPO SANO,78,3,,,,
2023,ADULTO MAYOR,2301AM0123,FELIZ CONOCIENDO,DIGUILLÍN,CHILLÁN,65.046.729-9,CAM SAN FRANCISCO DE ASIS,79,3,,,,
2023,ADULTO MAYOR,2301AM0124,"""EDUCACIÓN NUTRICIONAL PARA CAM LA RIBERA DEL ITATA""",ITATA,TREGUACO,65.340.210-4,CLUB ADULTO MAYOR LA RIBERA DEL ITATA,80,3,,,,
2023,ADULTO MAYOR,2301AM0126,"TRAVESÍA CULTURAL, UN VIAJE COGNITIVO A LA CULTURA PARA PERSONAS MAYORES",PUNILLA,SAN CARLOS,65.103.117-6,CENTRO CULTURAL ADULTO MAYOR UNA MIRADA DIFERENTE,81,3,,,,
2023,ADULTO MAYOR,2301AM0127,APRENDIENDO Y DISFRUTANDO LA VIDA,DIGUILLÍN,CHILLÁN,65.879.220-2,CLUB ADULTO MAYOR DR. ISIDORO TOHA,82,3,,,,
2023,ADULTO MAYOR,2301AM0129,VIAJANDO DE CORDILLERA A MAR,DIGUILLÍN,PINTO,65.290.170-0,UNIÓN COMUNAL ADULTOS MAYORES,83,3,,,,
2023,ADULTO MAYOR,2301AM0130,APRENDIENDO UNA ALIMENTACIÓN INOCUA EN SOCIOS Y FAMILIA DEL CLUB DE ADULTO MAYOR SAN JOSÉ LAS PALOMITAS.,PUNILLA,ÑIQUÉN,65.071.662-0,CLUB DE ADULTO MAYOR SAN JOSÉ LAS PALOMITAS,84,3,,,,
2023,ADULTO MAYOR,2301AM0132,POR MAS AÑOS CON MEJOR SALUD FISICA Y CALIDAD DE VIDA,PUNILLA,SAN FABIÁN,65.003.492-9,CLUB DE ADULTO MAYOR LUZ Y ESPERANZA,85,3,,,,
2023,ADULTO MAYOR,2301AM0136,SOCIOS/AS DEL CLUB NUEVA ESPERANZA MOVILIZÁNDONOS HACIA NUEVAS Y ANTIGUAS EXPERIENCIAS.,PUNILLA,SAN FABIÁN,65.395.710-6,CLUB ADULTO MAYOR NUEVA ESPERANZA,86,3,,,,
2023,ADULTO MAYOR,2301AM0137,IDENTIDAD CON EL CLUB,DIGUILLÍN,CHILLÁN VIEJO,65.024.185-1,CLUB ADULTO MAYOR LUZ Y VIDA,87,3,,,,
2023,ADULTO MAYOR,2301AM0139,"HACIA UN VIAJE LLENO DE HISTORIA PARA NUESTRA ALMA, CORAZONES Y SALUD MENTAL",PUNILLA,SAN FABIÁN,65.200.715-5,CLUB DE ADULTO MAYOR RENACER DEL SECTOR PICHINAL,88,3,,,,
2023,ADULTO MAYOR,2301AM0140,CUERPO SANO EN MENTE SANA,ITATA,COBQUECURA,65.117.649-2,CLUB DE ADULTO MAYOR PROFESORES EN RECREO,89,3,,,,
2023,ADULTO MAYOR,2301AM0141,VIDA ACTIVA EN PUENTE ÑUBLE,PUNILLA,SAN NICOLÁS,75.952.430-6,CLUB DE ADULTOS MAYORES RENACER,90,3,,,,
2023,ADULTO MAYOR,2301AM0142,TRAVESÍA DE LA HISTORIA Y LA RECREACIÓN,DIGUILLÍN,PINTO,65.014.022-2,AGRUPACIÓN ADULTO MAYOR LOS COPIHUES,91,4,,,,
2023,ADULTO MAYOR,2301AM0143,YOGA PARA EL ADULTO MAYOR DE BULI CASERIO,PUNILLA,ÑIQUÉN,65.175.769-K,CLUB DE ADULTO MAYOR EL GRAN SUEÑO DE BULI,92,4,,,,
2023,ADULTO MAYOR,2301AM0144,"VIAJE CULTURAL-RECREACIONAL HACIA QUILLÓN, LA CAPITAL TURÍSTICA DEL VALLE DEL ITATA",DIGUILLÍN,SAN IGNACIO,65.173.875-k,CLUB DE ADULTO MAYOR RENACER LA HERMITA,93,4,,,,
2023,ADULTO MAYOR,2301AM0145,A CONOCER RÍOS Y MONTAÑA VAMOS SAN FABIAN,ITATA,COBQUECURA,74.522.000-2,CLUB DEL ADULTO MAYOR SOL NACIENTE,94,4,,,,
2023,ADULTO MAYOR,2301AM0146,EL CORO RENACE CANTANDO EN ÑUBLE,DIGUILLÍN,CHILLÁN,65.743.460-4,CLUB ADULTO MAYOR GRUPO CORAL RENACER,95,4,,,,
2023,ADULTO MAYOR,2301AM0147,RENACIENDO DE MANERA SALUDABLE,ITATA,TREGUACO,65.229.890-7,CLUB DE ADULTO MAYOR RENACER,96,4,,,,
2023,ADULTO MAYOR,2301AM0148,CUIDANDO NUESTRO BIENESTAR FÍSICO PARA UNA MEJOR VEJEZ,PUNILLA,SAN FABIÁN,65.895.850-K,CLUB ADULTO MAYOR SAN SEBASTIÁN,97,4,,,,
2023,ADULTO MAYOR,2301AM0150,"RECORRIENDO NUESTRAS RUTAS PATRIMONIALES, LOS QUINCEAÑEROS DE MAITENES AMPLIAMOS NUESTROS CONOCIMIENTOS",PUNILLA,ÑIQUÉN,65.290.850-0,CLUB DE ADULTO MAYOR LOS QUINCEAÑEROS DE MAITENES,98,4,,,,
2023,ADULTO MAYOR,2301AM0151,VIDA ACTIVA Y MANEJO DE LAS EMOCIONES PARA EL ADULTO MAYOR,DIGUILLÍN,CHILLÁN,65.133.913-8,CLUB DE ADULTO MAYOR EDAD DE ORO,99,4,,,,
2023,ADULTO MAYOR,2301AM0152,"UN DIA DE PASEO, ALIMENTANDO EL CUERPO, ALMA Y MENTE",PUNILLA,COIHUECO,65.598.430-5,ACADEMIA ADULTO MAYOR ETERNA JUVENTUD,100,4,,,,
2023,ADULTO MAYOR,2301AM0154,VIAJE CULTURAL Y SANEAMIENTO MENTAL,DIGUILLÍN,CHILLÁN,65.352.760-8,ADULTOS MAYORES AL ALERO DEL TANGO,101,4,,,,
2023,ADULTO MAYOR,2301AM0155,NUNCA ES TARDE PARA VIAJAR Y SANAR,DIGUILLÍN,YUNGAY,65.370.590-5,CLUB ADULTO MAYOR LOS COPIHUES,102,4,,,,
2023,ADULTO MAYOR,2301AM0156,"NOS ENCONTRAMOS, TODOS JUNTOS EN TORNO A LA COSTURA",ITATA,COELEMU,75.967.130-9,UNION COMUNAL DE ADULTOS MAYORES DE COELEMU,103,4,,,,
2023,ADULTO MAYOR,2301AM0158,UNIDAS POR NUESTRA SALUD,ITATA,COELEMU,65.196.577-2,CLUB DE ADULTO MAYOR UNIDAS MEJOR,104,4,,,,
2023,ADULTO MAYOR,2301AM0159,TELAS Y COSTURAS LAS ABEJITAS DE COIPIN,PUNILLA,SAN NICOLÁS,65.051.764-4,CLUB ADULTO MAYOR EL PORVENIR DE COIPIN,105,4,,,,
2023,ADULTO MAYOR,2301AM0161,EL CLUB DE ADULTO MAYOR MARIA ELENA VALDES SE REJUVENECE EN LAS TERNAS.,ITATA,NINHUE,65.080.013-3,CLUB DE ADULTO MAYOR MARIA ELENA VALDES,106,4,,,,
2023,ADULTO MAYOR,2301AM0165,FORTALECIENDO MI SER,DIGUILLÍN,CHILLÁN,65.174.886-0,CLUB ADULTO MAYOR LOS GIRASOLES,107,4,,,,
2023,ADULTO MAYOR,2301AM0167,TODOS JUNTOS CONOCIENDO,DIGUILLÍN,CHILLÁN,65.167.649-5,CLUB ADULTO MAYOR CORAZONES CONTENTOS,108,4,,,,
2023,ADULTO MAYOR,2301AM0168,MEJORANDO LA CALIDAD DE VIDA DEL ADULTO MAYOR,DIGUILLÍN,CHILLÁN,65.188.762-3,"CLUB ADULTO MAYOR ""HORIZONTE"" CHILLÁN",109,4,,,,
2023,ADULTO MAYOR,2301AM0171,LA COCINA ES MI MEJOR TERAPIA,ITATA,PORTEZUELO,65.173.970-5,COMITÉ DE ADULTO MAYOR SAN FRANCISCO DE LA UNIDAD VECINAL 12 R,110,4,,,,
2023,ADULTO MAYOR,2301AM0174,COMPARTIENDO CONOCEMOS NUESTRA REGIÓN,DIGUILLÍN,CHILLÁN,65.039.259-0,CLUB ADULTO MAYOR ALEGRÍA DEL HOGAR VILLA EL NEVADO,111,4,,,,
